CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP4 (Praça da República);2011;2;0.004632843897217894;-22.903061;-43.186131;Praça da República;2/2011
CISP4 (Praça da República);2011;3;0.0023149594686868503;-22.903061;-43.186131;Praça da República;3/2011
CISP4 (Praça da República);2011;4;0.0;-22.903061;-43.186131;Praça da República;4/2011
CISP4 (Praça da República);2011;5;0.0;-22.903061;-43.186131;Praça da República;5/2011
CISP4 (Praça da República);2011;6;0.0023105830880667355;-22.903061;-43.186131;Praça da República;6/2011
CISP4 (Praça da República);2011;7;0.0023123316531835168;-22.903061;-43.186131;Praça da República;7/2011
CISP4 (Praça da República);2011;8;0.0;-22.903061;-43.186131;Praça da República;8/2011
CISP4 (Praça da República);2011;9;0.006930657409418963;-22.903061;-43.186131;Praça da República;9/2011
CISP4 (Praça da República);2011;10;0.0;-22.903061;-43.186131;Praça da República;10/2011
CISP4 (Praça da República);2011;11;0.002308110476175943;-22.903061;-43.186131;Praça da República;11/2011
CISP4 (Praça da República);2011;12;0.0023070938793513514;-22.903061;-43.186131;Praça da República;12/2011
CISP4 (Praça da República);2012;1;0.0023060781776434603;-22.903061;-43.186131;Praça da República;1/2012
CISP4 (Praça da República);2012;2;0.0023049909177765846;-22.903061;-43.186131;Praça da República;2/2012
CISP4 (Praça da República);2012;3;0.0;-22.903061;-43.186131;Praça da República;3/2012
CISP4 (Praça da República);2012;4;0.002302964106681595;-22.903061;-43.186131;Praça da República;4/2012
CISP4 (Praça da República);2012;5;0.0;-22.903061;-43.186131;Praça da República;5/2012
CISP4 (Praça da República);2012;6;0.004601737327375881;-22.903061;-43.186131;Praça da República;6/2012
CISP4 (Praça da República);2012;7;0.002299858434706832;-22.903061;-43.186131;Praça da República;7/2012
CISP4 (Praça da República);2012;8;0.002298704973013041;-22.903061;-43.186131;Praça da República;8/2012
CISP4 (Praça da República);2012;9;0.002297480687022214;-22.903061;-43.186131;Praça da República;9/2012
CISP4 (Praça da República);2012;10;0.004592659217101115;-22.903061;-43.186131;Praça da República;10/2012
CISP4 (Praça da República);2012;11;0.0;-22.903061;-43.186131;Praça da República;11/2012
