CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP1 (Praça Mauá);2011;2;4.0;-22.902876;-43.191611;Praça Mauá;2/2011
CISP1 (Praça Mauá);2011;3;5.0;-22.902876;-43.191611;Praça Mauá;3/2011
CISP1 (Praça Mauá);2011;4;4.0;-22.902876;-43.191611;Praça Mauá;4/2011
CISP1 (Praça Mauá);2011;5;3.0;-22.902876;-43.191611;Praça Mauá;5/2011
CISP1 (Praça Mauá);2011;6;5.0;-22.902876;-43.191611;Praça Mauá;6/2011
CISP1 (Praça Mauá);2011;7;3.0;-22.902876;-43.191611;Praça Mauá;7/2011
CISP1 (Praça Mauá);2011;8;3.0;-22.902876;-43.191611;Praça Mauá;8/2011
CISP1 (Praça Mauá);2011;9;2.0;-22.902876;-43.191611;Praça Mauá;9/2011
CISP1 (Praça Mauá);2011;10;0.0;-22.902876;-43.191611;Praça Mauá;10/2011
CISP1 (Praça Mauá);2011;11;2.0;-22.902876;-43.191611;Praça Mauá;11/2011
CISP1 (Praça Mauá);2011;12;2.0;-22.902876;-43.191611;Praça Mauá;12/2011
CISP1 (Praça Mauá);2012;1;1.0;-22.902876;-43.191611;Praça Mauá;1/2012
CISP1 (Praça Mauá);2012;2;1.0;-22.902876;-43.191611;Praça Mauá;2/2012
CISP1 (Praça Mauá);2012;3;0.0;-22.902876;-43.191611;Praça Mauá;3/2012
CISP1 (Praça Mauá);2012;4;4.0;-22.902876;-43.191611;Praça Mauá;4/2012
CISP1 (Praça Mauá);2012;5;3.0;-22.902876;-43.191611;Praça Mauá;5/2012
CISP1 (Praça Mauá);2012;6;4.0;-22.902876;-43.191611;Praça Mauá;6/2012
CISP1 (Praça Mauá);2012;7;1.0;-22.902876;-43.191611;Praça Mauá;7/2012
CISP1 (Praça Mauá);2012;8;2.0;-22.902876;-43.191611;Praça Mauá;8/2012
CISP1 (Praça Mauá);2012;9;2.0;-22.902876;-43.191611;Praça Mauá;9/2012
CISP1 (Praça Mauá);2012;10;1.0;-22.902876;-43.191611;Praça Mauá;10/2012
CISP1 (Praça Mauá);2012;11;3.0;-22.902876;-43.191611;Praça Mauá;11/2012
CISP1 (Praça Mauá);2012;12;3.0;-22.902876;-43.191611;Praça Mauá;12/2012
CISP1 (Praça Mauá);2013;1;5.0;-22.902876;-43.191611;Praça Mauá;1/2013
CISP1 (Praça Mauá);2013;2;1.0;-22.902876;-43.191611;Praça Mauá;2/2013
CISP1 (Praça Mauá);2013;3;1.0;-22.902876;-43.191611;Praça Mauá;3/2013
CISP1 (Praça Mauá);2013;4;2.0;-22.902876;-43.191611;Praça Mauá;4/2013
CISP1 (Praça Mauá);2013;5;0.0;-22.902876;-43.191611;Praça Mauá;5/2013
CISP1 (Praça Mauá);2013;6;1.0;-22.902876;-43.191611;Praça Mauá;6/2013
CISP1 (Praça Mauá);2013;7;1.0;-22.902876;-43.191611;Praça Mauá;7/2013
CISP1 (Praça Mauá);2013;8;3.0;-22.902876;-43.191611;Praça Mauá;8/2013
CISP1 (Praça Mauá);2013;9;2.0;-22.902876;-43.191611;Praça Mauá;9/2013
CISP1 (Praça Mauá);2013;10;4.0;-22.902876;-43.191611;Praça Mauá;10/2013
CISP1 (Praça Mauá);2013;11;4.0;-22.902876;-43.191611;Praça Mauá;11/2013
CISP1 (Praça Mauá);2013;12;2.0;-22.902876;-43.191611;Praça Mauá;12/2013
CISP1 (Praça Mauá);2014;1;5.0;-22.902876;-43.191611;Praça Mauá;1/2014
CISP1 (Praça Mauá);2014;2;4.0;-22.902876;-43.191611;Praça Mauá;2/2014
CISP1 (Praça Mauá);2014;3;3.0;-22.902876;-43.191611;Praça Mauá;3/2014
CISP1 (Praça Mauá);2014;4;1.0;-22.902876;-43.191611;Praça Mauá;4/2014
CISP1 (Praça Mauá);2014;5;5.0;-22.902876;-43.191611;Praça Mauá;5/2014
CISP1 (Praça Mauá);2014;6;3.0;-22.902876;-43.191611;Praça Mauá;6/2014
CISP1 (Praça Mauá);2014;7;9.0;-22.902876;-43.191611;Praça Mauá;7/2014
CISP1 (Praça Mauá);2014;8;4.0;-22.902876;-43.191611;Praça Mauá;8/2014
CISP1 (Praça Mauá);2014;9;1.0;-22.902876;-43.191611;Praça Mauá;9/2014
