CISP;mes;ano;pop
55;11;2003;186334
55;12;2003;180132
56;1;2003;257940
56;2;2003;258027
56;3;2003;258113
56;4;2003;258200
56;5;2003;258287
56;6;2003;258373
56;7;2003;258458
56;8;2003;258545
56;9;2003;258632
56;10;2003;258718
56;11;2003;258805
56;12;2003;258892
57;1;2003;154632
57;2;2003;154663
57;3;2003;154694
57;4;2003;154725
57;5;2003;154755
57;6;2003;154786
57;7;2003;154817
57;8;2003;154847
57;9;2003;154878
57;10;2003;154909
57;11;2003;154940
57;12;2003;154971
58;1;2003;341327
58;2;2003;341442
58;3;2003;341556
58;4;2003;341671
58;5;2003;341786
58;6;2003;341900
58;7;2003;342013
58;8;2003;342127
58;9;2003;342242
58;10;2003;342357
58;11;2003;342472
58;12;2003;342587
59;1;2003;328176
59;2;2003;328444
59;3;2003;328713
59;4;2003;328982
59;5;2003;329251
59;6;2003;329521
59;7;2003;329776
59;8;2003;330046
59;9;2003;330316
59;10;2003;330586
59;11;2003;330856
59;12;2003;331127
60;1;2003;263646
60;2;2003;263862
60;3;2003;264078
60;4;2003;264294
60;5;2003;264510
60;6;2003;264727
60;7;2003;264932
60;8;2003;265148
60;9;2003;265365
60;10;2003;265583
60;11;2003;265800
60;12;2003;266017
61;1;2003;56223
61;2;2003;56269
61;3;2003;56315
61;4;2003;56361
61;5;2003;56407
61;6;2003;56453
61;7;2003;56497
61;8;2003;56543
61;9;2003;56589
61;10;2003;56635
61;11;2003;56682
61;12;2003;56728
62;1;2003;146604
62;2;2003;146724
62;3;2003;146844
62;4;2003;146964
62;5;2003;147084
62;6;2003;147204
62;7;2003;147318
62;8;2003;147439
62;9;2003;147560
62;10;2003;147680
62;11;2003;147801
62;12;2003;147922
64;1;2003;451758
64;2;2003;451835
64;3;2003;451911
64;4;2003;451987
64;5;2003;452064
64;6;2003;452140
64;7;2003;452216
64;8;2003;452292
64;9;2003;452368
64;10;2003;452445
64;11;2003;452521
64;12;2003;452598
65;1;2003;121680
65;2;2003;121853
65;3;2003;122025
65;4;2003;122198
65;5;2003;122371
65;6;2003;122545
65;7;2003;122702
65;8;2003;122877
65;9;2003;123052
65;10;2003;123227
65;11;2003;123403
65;12;2003;123579
66;1;2003;130295
66;2;2003;130403
66;3;2003;130512
66;4;2003;130620
66;5;2003;130729
66;6;2003;130838
66;7;2003;130940
66;8;2003;131049
66;9;2003;131158
66;10;2003;131267
66;11;2003;131377
66;12;2003;131486
71;1;2003;221851
71;2;2003;222136
71;3;2003;222420
71;4;2003;222705
71;5;2003;222991
71;6;2003;223276
71;7;2003;223539
71;8;2003;223825
71;9;2003;224112
71;10;2003;224399
71;11;2003;224687
71;12;2003;224974
72;1;2003;316582
72;2;2003;316888
72;3;2003;317193
72;4;2003;317499
72;5;2003;317805
72;6;2003;318111
72;7;2003;318398
72;8;2003;318705
72;9;2003;319013
72;10;2003;319320
72;11;2003;319628
72;12;2003;319936
73;1;2003;153184
73;2;2003;153332
73;3;2003;153480
73;4;2003;153628
73;5;2003;153776
73;6;2003;153924
73;7;2003;154063
73;8;2003;154212
73;9;2003;154360
73;10;2003;154509
73;11;2003;154658
73;12;2003;154807
74;1;2003;200295
74;2;2003;200488
74;3;2003;200682
74;4;2003;200875
74;5;2003;201069
74;6;2003;201262
74;7;2003;201444
74;8;2003;201638
74;9;2003;201833
74;10;2003;202027
74;11;2003;202222
74;12;2003;202417
75;1;2003;247078
75;2;2003;247316
75;3;2003;247554
75;4;2003;247793
75;5;2003;248032
75;6;2003;248271
75;7;2003;248495
75;8;2003;248734
75;9;2003;248974
75;10;2003;249214
75;11;2003;249454
75;12;2003;249695
76;1;2003;73071
76;2;2003;73107
76;3;2003;73143
76;4;2003;73179
76;5;2003;73216
76;6;2003;73252
76;7;2003;73287
76;8;2003;73324
76;9;2003;73360
76;10;2003;73396
76;11;2003;73433
76;12;2003;73469
77;1;2003;138558
77;2;2003;138627
77;3;2003;138696
77;4;2003;138765
77;5;2003;138833
77;6;2003;138902
77;7;2003;138969
77;8;2003;139038
77;9;2003;139107
77;10;2003;139176
77;11;2003;139245
77;12;2003;139314
78;1;2003;120446
78;2;2003;120506
78;3;2003;120566
78;4;2003;120626
78;5;2003;120686
78;6;2003;120745
78;7;2003;120803
78;8;2003;120863
78;9;2003;120923
78;10;2003;120983
78;11;2003;121043
78;12;2003;121103
79;1;2003;69669
79;2;2003;69703
79;3;2003;69738
79;4;2003;69772
79;5;2003;69807
79;6;2003;69842
79;7;2003;69875
79;8;2003;69910
79;9;2003;69945
79;10;2003;69979
79;11;2003;70014
79;12;2003;70049
81;1;2003;64583
81;2;2003;64615
81;3;2003;64647
81;4;2003;64679
81;5;2003;64711
81;6;2003;64744
81;7;2003;64775
81;8;2003;64807
81;9;2003;64839
81;10;2003;64871
81;11;2003;64903
81;12;2003;64936
82;1;2003;87168
82;2;2003;87546
82;3;2003;87926
82;4;2003;88307
82;5;2003;88690
82;6;2003;89075
82;7;2003;89355
82;8;2003;89742
82;9;2003;90131
82;10;2003;90522
82;11;2003;90915
82;12;2003;91309
88;1;2003;90033
88;2;2003;90084
88;3;2003;90136
88;4;2003;90187
88;5;2003;90239
88;6;2003;90291
88;7;2003;90341
88;8;2003;90392
88;9;2003;90444
88;10;2003;90496
88;11;2003;90548
88;12;2003;90600
89;1;2003;108167
89;2;2003;108290
89;3;2003;108414
89;4;2003;108537
89;5;2003;108661
89;6;2003;108785
89;7;2003;108900
89;8;2003;109024
89;9;2003;109148
89;10;2003;109273
89;11;2003;109397
89;12;2003;109522
90;1;2003;172492
90;2;2003;172550
90;3;2003;172609
90;4;2003;172667
90;5;2003;172725
90;6;2003;172784
90;7;2003;172841
90;8;2003;172900
90;9;2003;172958
90;10;2003;173017
90;11;2003;173075
90;12;2003;173134
91;1;2003;67651
91;2;2003;67697
91;3;2003;67742
91;4;2003;67788
91;5;2003;67833
91;6;2003;67879
91;7;2003;67922
91;8;2003;67968
91;9;2003;68013
91;10;2003;68059
91;11;2003;68105
91;12;2003;68150
92;1;2003;7849
92;2;2003;7857
92;3;2003;7864
92;4;2003;7872
92;5;2003;7880
92;6;2003;7887
92;7;2003;7895
92;8;2003;7902
92;9;2003;7910
92;10;2003;7918
92;11;2003;7925
92;12;2003;7933
93;1;2003;245908
93;2;2003;246037
93;3;2003;246167
93;4;2003;246296
93;5;2003;246426
93;6;2003;246556
93;7;2003;246681
93;8;2003;246811
93;9;2003;246941
93;10;2003;247071
93;11;2003;247201
93;12;2003;247332
94;1;2003;43347
94;2;2003;43407
94;3;2003;43467
94;4;2003;43527
94;5;2003;43587
94;6;2003;43647
94;7;2003;43702
94;8;2003;42036
94;9;2003;40433
94;10;2003;38892
94;11;2003;37409
94;12;2003;35983
95;1;2003;32167
95;2;2003;32191
95;3;2003;32215
95;4;2003;32239
95;5;2003;32264
95;6;2003;32288
95;7;2003;32311
95;8;2003;32335
95;9;2003;32360
95;10;2003;32384
95;11;2003;32408
95;12;2003;32433
96;1;2003;49366
96;2;2003;49384
96;3;2003;49401
96;4;2003;49419
96;5;2003;49437
96;6;2003;49455
96;7;2003;49473
96;8;2003;49491
96;9;2003;49509
96;10;2003;49527
96;11;2003;49545
96;12;2003;49562
97;1;2003;17448
97;2;2003;17454
97;3;2003;17459
97;4;2003;17464
97;5;2003;17470
97;6;2003;17475
97;7;2003;17480
97;8;2003;17486
97;9;2003;17491
97;10;2003;17496
97;11;2003;17502
97;12;2003;17507
98;1;2003;12424
98;2;2003;12433
98;3;2003;12442
98;4;2003;12450
98;5;2003;12459
98;6;2003;12468
98;7;2003;12476
98;8;2003;12485
98;9;2003;12494
98;10;2003;12503
98;11;2003;12512
98;12;2003;12521
99;1;2003;25695
99;2;2003;25727
99;3;2003;25760
99;4;2003;25793
99;5;2003;25826
99;6;2003;25858
99;7;2003;25889
99;8;2003;25921
99;9;2003;25954
99;10;2003;25987
99;11;2003;26020
99;12;2003;26054
100;1;2003;24306
100;2;2003;24357
100;3;2003;24409
100;4;2003;24461
100;5;2003;24513
100;6;2003;24565
100;7;2003;24610
100;8;2003;24662
100;9;2003;24714
100;10;2003;24767
100;11;2003;24819
100;12;2003;24872
104;1;2003;19517
104;2;2003;19525
104;3;2003;19533
104;4;2003;19541
104;5;2003;19549
104;6;2003;19557
104;7;2003;19565
104;8;2003;19573
104;9;2003;19581
104;10;2003;19589
104;11;2003;19597
104;12;2003;19605
105;1;2003;245752
105;2;2003;245818
105;3;2003;245884
105;4;2003;245950
105;5;2003;246016
105;6;2003;246083
105;7;2003;246148
105;8;2003;246214
105;9;2003;246280
105;10;2003;246346
105;11;2003;246412
105;12;2003;246479
106;1;2003;43102
106;2;2003;43114
106;3;2003;43126
106;4;2003;43137
106;5;2003;43149
106;6;2003;43160
106;7;2003;43172
106;8;2003;43183
106;9;2003;43195
106;10;2003;43207
106;11;2003;43218
106;12;2003;43230
107;1;2003;38297
107;2;2003;38327
107;3;2003;38357
107;4;2003;38387
107;5;2003;38418
107;6;2003;38448
107;7;2003;38476
107;8;2003;38506
107;9;2003;38537
107;10;2003;38567
107;11;2003;38597
107;12;2003;38627
108;1;2003;91551
108;2;2003;91610
108;3;2003;91670
108;4;2003;91729
108;5;2003;91788
108;6;2003;91848
108;7;2003;91905
108;8;2003;91964
108;9;2003;92024
108;10;2003;92083
108;11;2003;92143
108;12;2003;92203
109;1;2003;17248
109;2;2003;17251
109;3;2003;17254
109;4;2003;17257
109;5;2003;17261
109;6;2003;17264
109;7;2003;17267
109;8;2003;17270
109;9;2003;17273
109;10;2003;17276
109;11;2003;17279
109;12;2003;17282
110;1;2003;144103
110;2;2003;144309
110;3;2003;144516
110;4;2003;144723
110;5;2003;144930
110;6;2003;145138
110;7;2003;145327
110;8;2003;145535
110;9;2003;145743
110;10;2003;145952
110;11;2003;146161
110;12;2003;146371
111;1;2003;14354
111;2;2003;14360
111;3;2003;14366
111;4;2003;14372
111;5;2003;14378
111;6;2003;14384
111;7;2003;14389
111;8;2003;14395
111;9;2003;14401
111;10;2003;14407
111;11;2003;14413
111;12;2003;14419
112;1;2003;15800
112;2;2003;15817
112;3;2003;15835
112;4;2003;15852
112;5;2003;15869
112;6;2003;15887
112;7;2003;15903
112;8;2003;15921
112;9;2003;15938
112;10;2003;15956
112;11;2003;15973
112;12;2003;15991
118;1;2003;89318
118;2;2003;89546
118;3;2003;89775
118;4;2003;90005
118;5;2003;90235
118;6;2003;90465
118;7;2003;90658
118;8;2003;90890
118;9;2003;91122
118;10;2003;91355
118;11;2003;91589
118;12;2003;91823
119;1;2003;51097
119;2;2003;51145
119;3;2003;51192
119;4;2003;51240
119;5;2003;51288
119;6;2003;51336
119;7;2003;51381
119;8;2003;51429
119;9;2003;51477
119;10;2003;51525
119;11;2003;51573
119;12;2003;51621
120;1;2003;21286
120;2;2003;21287
120;3;2003;21287
120;4;2003;21288
120;5;2003;21289
120;6;2003;21289
120;7;2003;21290
120;8;2003;21291
120;9;2003;21292
120;10;2003;21292
120;11;2003;21293
120;12;2003;21294
121;1;2003;24910
121;2;2003;25009
121;3;2003;25109
121;4;2003;25209
121;5;2003;25309
121;6;2003;25410
121;7;2003;25486
121;8;2003;25587
121;9;2003;25689
121;10;2003;25792
121;11;2003;25894
121;12;2003;25998
122;1;2003;19363
122;2;2003;19382
122;3;2003;19402
122;4;2003;19422
122;5;2003;19442
122;6;2003;19461
122;7;2003;19480
122;8;2003;19500
122;9;2003;19520
122;10;2003;19540
122;11;2003;19560
122;12;2003;19579
123;1;2003;172869
123;2;2003;173517
123;3;2003;174167
123;4;2003;174820
123;5;2003;175475
123;6;2003;176132
123;7;2003;176634
123;8;2003;177295
123;9;2003;177960
123;10;2003;178627
123;11;2003;179296
123;12;2003;179968
124;1;2003;57233
124;2;2003;57402
124;3;2003;57571
124;4;2003;57740
124;5;2003;57910
124;6;2003;58081
124;7;2003;58219
124;8;2003;58391
124;9;2003;58562
124;10;2003;58735
124;11;2003;58908
124;12;2003;59081
125;1;2003;68668
125;2;2003;68859
125;3;2003;69051
125;4;2003;69244
125;5;2003;69437
125;6;2003;69631
125;7;2003;69790
125;8;2003;69984
125;9;2003;70180
125;10;2003;70375
125;11;2003;70572
125;12;2003;70768
126;1;2003;164443
126;2;2003;164929
126;3;2003;165417
126;4;2003;165906
126;5;2003;166397
126;6;2003;166889
126;7;2003;167288
126;8;2003;167784
126;9;2003;168281
126;10;2003;168780
126;11;2003;169280
126;12;2003;169781
127;1;2003;20201
127;2;2003;20272
127;3;2003;20344
127;4;2003;20415
127;5;2003;20487
127;6;2003;20560
127;7;2003;20616
127;8;2003;20689
127;9;2003;20762
127;10;2003;20835
127;11;2003;20908
127;12;2003;20982
128;1;2003;47660
128;2;2003;48106
128;3;2003;48557
128;4;2003;49012
128;5;2003;49471
128;6;2003;49934
128;7;2003;50133
128;8;2003;50602
128;9;2003;51077
128;10;2003;51555
128;11;2003;52038
128;12;2003;52525
129;1;2003;16745
129;2;2003;16805
129;3;2003;16864
129;4;2003;16923
129;5;2003;16983
129;6;2003;17043
129;7;2003;17090
129;8;2003;17150
129;9;2003;17211
129;10;2003;17271
129;11;2003;17332
129;12;2003;17394
134;1;2003;266457
134;2;2003;266748
134;3;2003;267040
134;4;2003;267333
134;5;2003;267625
134;6;2003;267918
134;7;2003;268191
134;8;2003;268484
134;9;2003;268778
134;10;2003;269072
134;11;2003;269367
134;12;2003;269662
135;1;2003;22977
135;2;2003;22976
135;3;2003;22975
135;4;2003;22974
135;5;2003;22973
135;6;2003;22973
135;7;2003;22972
